Name,Transliteration,Meaning,Language
Elona,,Oak tree,Albanian
Endrit,,Light,Albanian
Enver,,Luminous,Albanian
Erjon,,Our wind,Albanian
Fatmir,,Good luck,Albanian
Fatos,,Brave,Albanian
Flamur,,Flag,Albanian
Genti,,Noble,Albanian
Gerta,,Protected,Albanian
Ilir,,"Free, noble",Albanian
Ilira,,Freedom,Albanian
Liri,,Freedom,Albanian
Liridon,,Longing for freedom,Albanian
Lule,,Flower,Albanian
Merita,,Deserved,Albanian
Mimoza,,Mimosa flower,Albanian
Miranda,,Worthy of admiration,Albanian
Naim,,"Fair, just",Albanian
Nora,,Honor,Albanian
Petrit,,"Strong, sturdy",Albanian
Rinor,,Renewal,Albanian
Saranda,,Forty saints,Albanian
Shqipe,,Albanian eagle,Albanian
Teuta,,Queen of Illyria,Albanian
Valbona,,Valley,Albanian
Valon,,Wave,Albanian
Venera,,"Love, Venus",Albanian
Visar,,Treasure,Albanian
Xhulia,,Youthful,Albanian
Ylli,,Star,Albanian
Arian,,Golden,Albanian
Arjana,,Golden life,Albanian
Ardiana,,Golden dawn,Albanian
Arlinda,,Gold light,Albanian
Arta,,Golden,Albanian
Artan,,Golden,Albanian
Arbiona,,From the Arberesh people,Albanian
Bajram,,Celebration,Albanian
Bukurie,,Beauty,Albanian
Dashamir,,Lover of peace,Albanian
Diona,,Goddess of the hunt,Albanian
Dren,,Deer,Albanian
Drita,,Light,Albanian
Edlira,,Free spirit,Albanian
Elmaz,,Diamond,Albanian
Fatmira,,Fortunate,Albanian
Fjoralba,,Flower of dawn,Albanian
Fitim,,Victory,Albanian
Flutura,,Butterfly,Albanian
Ganimet,,War trophy,Albanian
Gazmend,,Happiness,Albanian
Gresa,,Step,Albanian
Ismail,,God will hear,Albanian
Jetmir,,Good life,Albanian
Kadri,,Destiny,Albanian
Kaltrina,,Blue,Albanian
Kujtim,,Memory,Albanian
Lea,,Weary,Albanian
Lediana,,Child of Ledio,Albanian
Leon,,Lion,Albanian
Luan,,Lion,Albanian
Maliq,,King,Albanian
Marigona,,Traditional,Albanian
Nderim,,Respect,Albanian
Perparim,,Progress,Albanian
Rezarta,,Golden ray,Albanian
Rozafa,,Albanian legend,Albanian
Sadik,,Truthful,Albanian
Selim,,Safe,Albanian
Shkëlzen,,Radiant,Albanian
Shpend,,Bird,Albanian
Shqiponja,,Eagle,Albanian
Tefik,,Success,Albanian
Tomorr,,Mountain name,Albanian
Uran,,Heavenly,Albanian
Valdet,,Born in the valley,Albanian
Valmir,,Good wave,Albanian
Vjollca,,Violet flower,Albanian
Xheni,,Generous,Albanian
Zana,,Fairy,Albanian
Zef,,God will add,Albanian
Zamira,,Voice of peace,Albanian
Zeqo,,Leader,Albanian
Zog,,Bird,Albanian
Zyrafete,,Golden,Albanian
Zenel,,Leader,Albanian
Aaliyah,,"Exalted, noble",Arabic
Abbas,,Lion,Arabic
Adnan,,Settler,Arabic
Afnan,,Branches of a tree,Arabic
Amal,,Hope,Arabic
Amir,,"Prince, ruler",Arabic
Amina,,"Trustworthy, faithful",Arabic
Anwar,,Luminous,Arabic
Asad,,Lion,Arabic
Asma,,"Exalted, high",Arabic
Ayman,,"Lucky, fortunate",Arabic
Bahira,,"Dazzling, brilliant",Arabic
Basim,,Smiling,Arabic
Bilal,,"Moisture, freshness",Arabic
Bushra,,Good news,Arabic
Dalia,,Grapevine,Arabic
Dina,,"Love, judgment",Arabic
Ehsan,,Benevolence,Arabic
Fadi,,Redeemer,Arabic
Farah,,Joy,Arabic
Firas,,"Perspicacity, insight",Arabic
Ghada,,Graceful,Arabic
Ghassan,,"Youth, vitality",Arabic
Habib,,Beloved,Arabic
Hana,,Happiness,Arabic
Hassan,,"Handsome, good",Arabic
Hayat,,Life,Arabic
Huda,,Right guidance,Arabic
Husayn,,"Beautiful, good",Arabic
Ibrahim,,Father of many,Arabic
Idris,,Interpreter,Arabic
Iman,,Faith,Arabic
Jamal,,Beauty,Arabic
Jana,,"Garden, paradise",Arabic
Jibril,,Archangel Gabriel,Arabic
Karim,,"Generous, noble",Arabic
Khalid,,Eternal,Arabic
Lamia,,"Radiant, shining",Arabic
Layla,,"Night, intoxication",Arabic
Leila,,Night,Arabic
Lina,,"Tender, delicate",Arabic
Lubna,,Tree with fragrant leaves,Arabic
Majid,,"Glorious, noble",Arabic
Malak,,Angel,Arabic
Malik,,King,Arabic
Mariam,,"Beloved, rebellious",Arabic
Mazin,,Rain-cloud,Arabic
Mona,,"Desire, wish",Arabic
Mustafa,,The chosen one,Arabic
Nadia,,"Caller, announcer",Arabic
Nadir,,"Rare, precious",Arabic
Naila,,"Attainer, achiever",Arabic
Najwa,,"Whisper, secret",Arabic
Nasir,,"Helper, protector",Arabic
Noor,,Light,Arabic
Noura,,Light,Arabic
Omar,,"Flourishing, life",Arabic
Qasim,,Distributor,Arabic
Rafiq,,"Kind, companion",Arabic
Rahma,,"Mercy, compassion",Arabic
Rania,,Queenly,Arabic
Rasha,,Young gazelle,Arabic
Rashid,,Rightly guided,Arabic
Ridwan,,"Pleasure, satisfaction",Arabic
Rima,,White antelope,Arabic
Saad,,"Happiness, good fortune",Arabic
Safa,,"Purity, clarity",Arabic
Sahar,,Dawn,Arabic
Salim,,"Safe, sound",Arabic
Samira,,Entertaining companion,Arabic
Sara,,"Princess, pure",Arabic
Selim,,Peaceful,Arabic
Shadia,,"Singer, melodious",Arabic
Taha,,"Pure, pristine",Arabic
Tariq,,Morning star,Arabic
Umayyah,,Ancient Arab tribe name,Arabic
Wafa,,"Loyalty, faithfulness",Arabic
Walid,,"Newborn, fresh",Arabic
Yasmin,,Jasmine flower,Arabic
Yassin,,Prophet's name,Arabic
Yousuf,,God increases,Arabic
Zaid,,"Growth, abundance",Arabic
Zainab,,Fragrant flower,Arabic
Zakariya,,God has remembered,Arabic
Zayd,,"Growth, increase",Arabic
Zeina,,"Ornament, adornment",Arabic
Zahra,,"Bright, shining",Arabic
Zayn,,"Beauty, grace",Arabic
Ziyad,,"Abundance, growth",Arabic
Zubair,,"Strong, wise",Arabic
Zain,,"Beauty, adornment",Arabic
Zayna,,"Beautiful, graceful",Arabic
Zayd,,"Growth, abundance",Arabic
Zara,,"Princess, flower",Arabic
Zamzam,,Sacred spring,Arabic
Zuhair,,"Bright, luminous",Arabic
Zulaikha,,Brilliant beauty,Arabic
Zayd,,"Growth, abundance",Arabic
Zakia,,"Pure, chaste",Arabic
Aida,,Moon,Armenian
Alen,,"Light, bright",Armenian
Alina,,"Bright, beautiful",Armenian
Anahit,,Goddess of wisdom,Armenian
Ani,,Ancient capital of Armenia,Armenian
Aram,,"Exalted, high",Armenian
Ararat,,Sacred mountain,Armenian
Aren,,Eagle,Armenian
Arpi,,Sunlight,Armenian
Arsen,,"Brave, virile",Armenian
Astghik,,Little star,Armenian
Avet,,Good news,Armenian
Azniv,,"Gentle, delicate",Armenian
Bagrat,,God-given,Armenian
Balin,,Strength,Armenian
Bella,,Beautiful,Armenian
Berj,,"Elegant, high",Armenian
Carine,,Beloved,Armenian
Davit,,Beloved,Armenian
Dikran,,Ruler,Armenian
Elen,,Shining light,Armenian
Emil,,Rival,Armenian
Emma,,"Whole, universal",Armenian
Garin,,Short for Garo,Armenian
Garo,,Brave,Armenian
Gayane,,Name of a saint,Armenian
Gevorg,,Farmer,Armenian
Gor,,Fighter,Armenian
Gohar,,Jewel,Armenian
Grigor,,"Vigilant, watchful",Armenian
Haig,,Ancestor of Armenians,Armenian
Hakob,,Supplanter,Armenian
Hovhannes,,God is gracious,Armenian
Hrant,,Alive,Armenian
Hripsime,,Name of a saint,Armenian
Jirayr,,"Fast, quick",Armenian
Karine,,Pure,Armenian
Karnig,,Little lamb,Armenian
Karo,,Short for Karapet,Armenian
Lala,,Tulip,Armenian
Lara,,"Famous, well-known",Armenian
Levon,,Lion,Armenian
Lilit,,Of the night,Armenian
Lusine,,Moon,Armenian
Manush,,Sweetheart,Armenian
Maral,,Deer,Armenian
Maro,,Lady,Armenian
Masis,,Name of a mountain,Armenian
Meri,,Beloved,Armenian
Mikael,,Who is like God?,Armenian
Mihran,,"Kind, gracious",Armenian
Narine,,Pomegranate,Armenian
Narek,,Famous monastery,Armenian
Nora,,Honor,Armenian
Nshan,,"Sign, symbol",Armenian
Onnik,,"Unique, one-of-a-kind",Armenian
Ophelia,,Help,Armenian
Paruyr,,Famous hero,Armenian
Raffi,,Prosperous,Armenian
Ruben,,"Behold, a son",Armenian
Sargis,,Protector,Armenian
Sarkis,,Protector,Armenian
Seda,,Voice,Armenian
Serop,,"Strong, powerful",Armenian
Sevak,,Black-haired,Armenian
Shant,,Lightning,Armenian
Silva,,"Forest, woods",Armenian
Siranush,,"Lovely, sweet",Armenian
Sos,,Sacred tree,Armenian
Souren,,"Strong, powerful",Armenian
Talin,,Name of a town,Armenian
Tamar,,Palm tree,Armenian
Tatev,,Give wings,Armenian
Tigran,,"Ruler, king",Armenian
Vahan,,"Shield, protector",Armenian
Vahe,,Strong,Armenian
Vardan,,Rose,Armenian
Vartouhi,,Beautiful rose,Armenian
Varujan,,"Fighter, warrior",Armenian
Vicken,,Victory,Armenian
Vigen,,"Vigorous, strong",Armenian
Vrej,,Revenge,Armenian
Vruyr,,Famous hero,Armenian
Yeghia,,God is salvation,Armenian
Yeva,,Life,Armenian
Yeran,,Desire,Armenian
Yeraz,,Dream,Armenian
Zabel,,Devoted to God,Armenian
Zara,,"Princess, flower",Armenian
Zaven,,Gift from God,Armenian
Zepyur,,Breeze,Armenian
Zhora,,Farmer,Armenian
Zorik,,"Strong, powerful",Armenian
Zaruhi,,Gold-colored,Armenian
Zvart,,"Radiant, bright",Armenian
Araz,,"River, name of a river in Azerbaijan",Azerbaijani 
Aydin,,"Enlightened, bright",Azerbaijani
Elgun,,"Bright, shining",Azerbaijani
Fariz,,"Eminent, distinguished",Azerbaijani
Gunay,,Moonlight,Azerbaijani
Kamal,,"Perfection, maturity",Azerbaijani
Leyla,,"Night, dark beauty",Azerbaijani
Mirza,,"Prince, leader",Azerbaijani
Nigar,,"Beloved, beautiful",Azerbaijani
Ramin,,A name from Persian literature,Azerbaijani
Samir,,"Companion, friend",Azerbaijani
Turan,,Homeland,Azerbaijani
Vusal,,"Meeting, reunion",Azerbaijani
Yavuz,,"Stern, determined",Azerbaijani
Ziya,,"Light, radiance",Azerbaijani
Amina,,"Trustworthy, faithful",Azerbaijani
Bahar,,Spring,Azerbaijani
Dilara,,"Heart, beloved",Azerbaijani 
Elif,,"Unique, slender (often used to denote the first letter of the alphabet)",Azerbaijani 
Fidan,,"Sapling, young tree",Azerbaijani 
Gulnar,,Pomegranate flower,Azerbaijani 
Hadiya,,Gift,Azerbaijani 
Ilham,,Inspiration,Azerbaijani 
Jaleh,,"Dew, droplets",Azerbaijani 
Kamil,,"Complete, perfect",Azerbaijani 
Lala,,Tulip,Azerbaijani 
Meltem,,Breeze,Azerbaijani 
Naila,,"Achiever, successful",Azerbaijani 
Orkhan,,Name of an ancient ruler,Azerbaijani 
Pervin,,Star,Azerbaijani 
Rena,,"Light, radiance",Azerbaijani 
Selim,,"Safe, sound",Azerbaijani 
Tuba,,Tree of paradise,Azerbaijani 
Vafa,,Loyalty,Azerbaijani 
Yeliz,,"Clear, bright",Azerbaijani 
Zeynab,,Father's precious jewel,Azerbaijani 
Akif,,"Devoted, earnest",Azerbaijani 
Berna,,Young woman,Azerbaijani 
Cavid,,Eternal,Azerbaijani 
Derya,,Sea,Azerbaijani 
Elnur,,Light of the nation,Azerbaijani 
Feride,,"Unique, rare",Azerbaijani 
Gulara,,"Flower, blossom",Azerbaijani 
Huseyn,,"The good, a name of a historical figure",Azerbaijani 
Igbal,,Prosperity,Azerbaijani 
Javidan,,Eternal,Azerbaijani 
Kenan,,A historical name,Azerbaijani 
Leila,,"Night, dark beauty",Azerbaijani 
Mahira,,"Skilled, talented",Azerbaijani 
Nermin,,"Delicate, gentle",Azerbaijani 
Omer,,"Long-lived, a name of a historical figure",Azerbaijani 
Pinar,,"Spring, source of water",Azerbaijani 
Rauf,,"Compassionate, merciful",Azerbaijani 
Serkan,,"Chief, leader",Azerbaijani 
Teymur,,"Iron, strong",Azerbaijani 
Umay,,Goddess of fertility,Azerbaijani 
Vusal,,"Reunion, meeting",Azerbaijani 
Yusif,,Joseph (a common historical figure),Azerbaijani 
Zahra,,"Flower, radiant",Azerbaijani 
Ahmet,,Highly praised,Azerbaijani 
Bahram,,Name of a historical figure,Azerbaijani 
Ceyda,,"Beautiful, graceful",Azerbaijani 
Elvan,,Colorful,Azerbaijani 
Feryal,,"Exquisite, delicate",Azerbaijani 
Genc,,Young,Azerbaijani 
Hulya,,"Beautiful, enchanting",Azerbaijani 
Ismail,,Ishmael (a common historical figure),Azerbaijani 
Jale,,Dew,Azerbaijani 
Kamila,,"Complete, perfect",Azerbaijani 
Levent,,"Young man, gallant",Azerbaijani 
Mehtap,,Moonlight,Azerbaijani 
Nihal,,"Eternal, everlasting",Azerbaijani 
Olgun,,"Mature, wise",Azerbaijani 
Peri,,Fairy,Azerbaijani 
Rabia,,"Spring, also a historical figure",Azerbaijani 
Selma,,"Safe, secure",Azerbaijani
Teoman,,A historical name,Azerbaijani 
Umut,,Hope,Azerbaijani 
Veli,,Guardian,Azerbaijani 
Yasar,,Long-lived,Azerbaijani 
Zehra,,"Radiant, shining",Azerbaijani 
Aydan,,"Bright, luminous",Azerbaijani 
Banu,,"Lady, princess",Azerbaijani 
Cihan,,World,Azerbaijani 
Dilshad,,Happy heart,Azerbaijani 
Ekin,,"Crop, harvest",Azerbaijani 
Ferhat,,A historical name,Azerbaijani 
Guneş,,Sun,Azerbaijani 
Halima,,"Gentle, kind",Azerbaijani 
Ilgar,,A historical name,Azerbaijani 
Jahan,,World,Azerbaijani 
Kamil,,"Perfect, complete",Azerbaijani 
Lale,,Tulip,Azerbaijani 
Maral,,"Deer, a kind of animal",Azerbaijani 
Niyazi,,A historical figure,Azerbaijani 
Oğuz,,A historical name,Azerbaijani 
Pervin,,Star,Azerbaijani 
Rami,,Archer,Azerbaijani 
Sibel,,A historical name,Azerbaijani 
Tarkan,,Name of a historical figure,Azerbaijani 
Ulker,,Star,Azerbaijani 
Vahid,,"Unique, one-of-a-kind",Azerbaijani 
Yelda,,Longest night of the year (winter solstice),Azerbaijani 
Zeynep,,Precious jewel,Azerbaijani 
Aysel,,Moonlight,Azerbaijani 
Bahar,,Spring,Azerbaijani 
Ceren,,Young deer,Azerbaijani 
Dilan,,"Heart, soul",Azerbaijani 
Eda,,"Grace, beautiful",Azerbaijani 
Fidan,,Sapling,Azerbaijani 
Gül,,Rose,Azerbaijani 
Huma,,"Mythical bird, paradise",Azerbaijani 
İsmail,,Historical name,Azerbaijani 
Jale,,Dew,Azerbaijani 
Kader,,Fate,Azerbaijani 
Lale,,Tulip,Azerbaijani 
Melike,,Queen,Azerbaijani 
Nermin,,"Delicate, gentle",Azerbaijani 
Oya,,Lace,Azerbaijani 
Pinar,,"Spring, source of water",Azerbaijani 
Raziye,,"Content, satisfied",Azerbaijani 
Suna,,"Red lips, a type of flower",Azerbaijani 
Tuba,,Tree of paradise,Azerbaijani 
Umay,,Fertility goddess,Azerbaijani 
Vuslat,,"Reunion, meeting",Azerbaijani 
Yeliz,,"Clear, bright",Azerbaijani 
Zeynep,,Precious jewel,Azerbaijani 
Arzu,,"Desire, wish",Azerbaijani 
Bahri,,Of the sea,Azerbaijani 
Cansu,,"Water, river",Azerbaijani 
Damla,,"Drop, bead",Azerbaijani 
Eylül,,September,Azerbaijani 
Feryal,,"Exquisite, delicate",Azerbaijani 
Gülten,,Rose-faced,Azerbaijani 
Hidayet,,"Guidance, enlightenment",Azerbaijani 
İsmail,,Historical name,Azerbaijani 
Jale,,Dew,Azerbaijani 
Kenan,,Historical name,Azerbaijani
Lale,,Tulip,Azerbaijani 
Mahinur,,Light of the moon,Azerbaijani 
Nergiz,,Narcissus flower,Azerbaijani 
Orhan,,Historical name,Azerbaijani 
Rabia,,Spring,Azerbaijani 
Sibel,,A historical name,Azerbaijani 
Tuba,,Tree of paradise,Azerbaijani 
Vildan,,Beloved,Azerbaijani 
Yasemin,,Jasmine,Azerbaijani 
Zeynep,,Precious jewel,Azerbaijani 
Ayten,,Moon-eyed,Azerbaijani 
Bahar,,Spring,Azerbaijani 
Ceylan,,Gazelle,Azerbaijani 
Deniz,,Sea,Azerbaijani 
Emine,,"Trustworthy, faithful",Azerbaijani 
Feride,,Unique,Azerbaijani 
Gül,,Rose,Azerbaijani 
Hüsniye,,Beautiful,Azerbaijani 
İkra,,Read,Azerbaijani 
Kadir,,"Capable, powerful",Azerbaijani 
Leila,,"Night, dark beauty",Azerbaijani 
Meryem,,"Mary, a historical figure",Azerbaijani 
Nisan,,April,Azerbaijani 
Oya,,Lace,Azerbaijani 
Pinar,,"Spring, source of water",Azerbaijani 
Rüya,,Dream,Azerbaijani 
Samira,,Companion in conversation,Azerbaijani 
Turan,,Homeland,Azerbaijani 
Vuslat,,"Reunion, meeting",Azerbaijani 
Yıldız,,Star,Azerbaijani 
Zeynep,,Precious jewel,Azerbaijani 
Aitor,,Father of the Basques,Basque
Amaia,,The end,Basque
Ander,,Manly,Basque
Ane,,Grace,Basque
Arantxa,,Thorn,Basque
Asier,,The beginning,Basque
Beñat,,Brave,Basque
Begoña,,Name of a place in Spain,Basque
Eider,,A type of duck,Basque
Ekhi,,Sun,Basque
Elene,,Light,Basque
Enara,,Swallow (the bird),Basque
Estibaliz,,Virgin,Basque
Gorka,,George (historical figure),Basque
Hodei,,Cloud,Basque
Iker,,Visitation,Basque
Iñaki,,Furnace,Basque
Irati,,Name of a forest in Spain,Basque
Iruñe,,A Basque town,Basque
Jon,,John,Basque
Koldo,,"Bold, strong",Basque
Lur,,Earth,Basque
Maialen,,Mary,Basque
Mikel,,Michael,Basque
Miren,,Mary,Basque
Nerea,,Mine,Basque
Oier,,Helper,Basque
Oihana,,Forest,Basque
Olaia,,Holy,Basque
Patxi,,Francis,Basque
Peio,,Peter,Basque
Sara,,Princess,Basque
Txema,,James,Basque
Unai,,Shepherd,Basque
Xabier,,Xavier,Basque
Ximena,,Listener,Basque
Yago,,Jacob,Basque
Zuri,,White,Basque
Aiala,,Residence,Basque
Aintza,,Honor,Basque
Aitor,,Father of the Basques,Basque
Alaitz,,Joyful,Basque
Amets,,Dream,Basque
Ane,,Grace,Basque
Argi,,Light,Basque
Artzai,,Priest,Basque
Aritza,,Oak tree,Basque
Asier,,The beginning,Basque
Begoña,,Name of a place in Spain,Basque
Beren,,Brown,Basque
Eider,,A type of duck,Basque
Ekhi,,Sun,Basque
Elixabete,,Elizabeth,Basque
Eneko,,Little one,Basque
Eñaut,,John,Basque
Esteban,,Stephen,Basque
Gorka,,George (historical figure),Basque
Hodei,,Cloud,Basque
Iker,,Visitation,Basque
Iñaki,,Furnace,Basque
Irati,,Name of a forest in Spain,Basque
Izaro,,Star,Basque
Jon,,John,Basque
Koldo,,"Bold, strong",Basque
Lur,,Earth,Basque
Maialen,,Mary,Basque
Mikel,,Michael,Basque
Miren,,Mary,Basque
Nerea,,Mine,Basque
Oier,,Helper,Basque
Oihana,,Forest,Basque
Olaia,,Holy,Basque
Patxi,,Francis,Basque
Peio,,Peter,Basque
Sara,,Princess,Basque
Txema,,James,Basque
Unai,,Shepherd,Basque
Xabier,,Xavier,Basque
Ximena,,Listener,Basque
Yago,,Jacob,Basque
Zuri,,White,Basque
Aiala,,Residence,Basque
Aintza,,Honor,Basque
Amets,,Dream,Basque
Andoni,,Anthony,Basque
Anuntz,,Annunciation,Basque
Aritz,,Oak tree,Basque
Avelina,,Little bird,Basque
Azu,,Blue,Basque
Begoña,,Name of a place in Spain,Basque
Beren,,Brown,Basque
Edurne,,Snow,Basque
Eider,,A type of duck,Basque
Eki,,Sun,Basque
Eñaut,,John,Basque
Esteban,,Stephen,Basque
Gorka,,George (historical figure),Basque
Hodei,,Cloud,Basque
Iker,,Visitation,Basque
Iñaki,,Furnace,Basque
Irati,,Name of a forest in Spain,Basque
Izaro,,Star,Basque
Jon,,John,Basque
Koldo,,"Bold, strong",Basque
Lur,,Earth,Basque
Maialen,,Mary,Basque
Mikel,,Michael,Basque
Miren,,Mary,Basque
Nerea,,Mine,Basque
Oier,,Helper,Basque
Oihana,,Forest,Basque
Olaia,,Holy,Basque
Patxi,,Francis,Basque
Peio,,Peter,Basque
Sara,,Princess,Basque
Txema,,James,Basque
Unai,,Shepherd,Basque
Xabier,,Xavier,Basque
Ximena,,Listener,Basque
Yago,,Jacob,Basque
Zuri,,White,Basque
Aiala,,Residence,Basque
Aintza,,Honor,Basque
Amets,,Dream,Basque
Andoni,,Anthony,Basque
Aritz,,Oak tree,Basque
Begoña,,Name of a place in Spain,Basque
Beren,,Brown,Basque
Edurne,,Snow,Basque
Eider,,A type of duck,Basque
Eki,,Sun,Basque
Eneko,,Little one,Basque
Esteban,,Stephen,Basque
Gorka,,George (historical figure),Basque
Hodei,,Cloud,Basque
Iker,,Visitation,Basque
Iñaki,,Furnace,Basque
Irati,,Name of a forest in Spain,Basque
Izaro,,Star,Basque
Jon,,John,Basque
Koldo,,"Bold, strong",Basque
Lur,,Earth,Basque
Maialen,,Mary,Basque
Mikel,,Michael,Basque
Miren,,Mary,Basque
Nerea,,Mine,Basque
Oier,,Helper,Basque
Oihana,,Forest,Basque
Olaia,,Holy,Basque
Patxi,,Francis,Basque
Peio,,Peter,Basque
Sara,,Princess,Basque
Txema,,James,Basque
Unai,,Shepherd,Basque
Xabier,,Xavier,Basque
Ximena,,Listener,Basque
Yago,,Jacob,Basque
Zuri,,White,Basque
Aiala,,Residence,Basque
Aintza,,Honor,Basque
Amets,,Dream,Basque
Andoni,,Anthony,Basque
Aritz,,Oak tree,Basque
Avelina,,Little bird,Basque
Azu,,Blue,Basque
Begoña,,Name of a place in Spain,Basque
Beren,,Brown,Basque
Edurne,,Snow,Basque
Eider,,A type of duck,Basque
Eki,,Sun,Basque
Eneko,,Little one,Basque
Esteban,,Stephen,Basque
Gorka,,George (historical figure),Basque
Hodei,,Cloud,Basque
Iker,,Visitation,Basque
Iñaki,,Furnace,Basque
Irati,,Name of a forest in Spain,Basque
Izaro,,Star,Basque
Jon,,John,Basque
Koldo,,"Bold, strong",Basque
Lur,,Earth,Basque
Maialen,,Mary,Basque
Mikel,,Michael,Basque
Miren,,Mary,Basque
Nerea,,Mine,Basque
Oier,,Helper,Basque
Oihana,,Forest,Basque
Olaia,,Holy,Basque
Patxi,,Francis,Basque
Peio,,Peter,Basque
Sara,,Princess,Basque
Txema,,James,Basque
Unai,,Shepherd,Basque
Xabier,,Xavier,Basque
Ximena,,Listener,Basque
Yago,,Jacob,Basque
Zuri,,White,Basque
Aiala,,Residence,Basque
Aintza,,Honor,Basque
Amets,,Dream,Basque
Andoni,,Anthony,Basque
Aritz,,Oak tree,Basque
Begoña,,Name of a place in Spain,Basque
Beren,,Brown,Basque
Edurne,,Snow,Basque
Eider,,A type of duck,Basque
Eki,,Sun,Basque
Eneko,,Little one,Basque
Esteban,,Stephen,Basque
Gorka,,George (historical figure),Basque
Hodei,,Cloud,Basque
Iker,,Visitation,Basque
Iñaki,,Furnace,Basque
Irati,,Name of a forest in Spain,Basque
Izaro,,Star,Basque
Jon,,John,Basque
Koldo,,"Bold, strong",Basque
Lur,,Earth,Basque
Maialen,,Mary,Basque
Mikel,,Michael,Basque
Miren,,Mary,Basque
Nerea,,Mine,Basque
Oier,,Helper,Basque
Oihana,,Forest,Basque
Olaia,,Holy,Basque
Patxi,,Francis,Basque
Peio,,Peter,Basque
Ales,,Defender,Belarusian
Alina,,"Bright, beautiful",Belarusian
Andrei,,"Manly, brave",Belarusian
Anastasiya,,Resurrection,Belarusian
Anton,,"Priceless, invaluable",Belarusian
Artyom,,"Safe, unharmed",Belarusian
Alena,,"Light, torch",Belarusian
